label,unit,attr,imgType
1,50,input,none
2,0,input,none
3,86,input,none
4,2,input,none
5,5,input,none
6,59,input,none
7,20,input,none
8,107,input,none
9,23,input,none
10,93,input,none
11,20,input,none
12,19,input,none
13,76,input,none
14,28,input,none
15,80,input,none
16,95,input,none
17,16,input,none
18,72,input,none
19,107,input,none
20,76,input,none
21,73,input,none
22,60,input,none
23,8,input,none
24,30,input,none
25,60,input,none
26,7,input,none
27,116,input,none
28,77,input,none
29,79,input,none
30,118,input,none
31,31,input,none
32,113,input,none
33,39,input,none
34,103,input,none
35,65,input,none
36,21,input,none
37,3,input,none
38,31,input,none
39,115,input,none
40,85,input,none
41,111,input,none
42,26,input,none
43,109,input,none
44,38,input,none
45,85,input,none
46,12,input,none
47,10,input,none
48,40,input,none
49,15,input,none
50,56,input,none
51,5,input,none
52,35,input,none
53,48,input,none
54,51,input,none
55,29,input,none
56,59,input,none
57,42,input,none
58,116,input,none
59,110,input,none
60,27,input,none
61,7,input,none
62,0,input,none
63,29,input,none
64,60,input,none
65,113,input,none
66,19,input,none
67,59,input,none
68,79,input,none
69,106,input,none
70,119,input,none
71,98,input,none
72,51,input,none
73,115,input,none
74,51,input,none
75,69,input,none
76,0,input,none
77,45,input,none
78,23,input,none
79,91,input,none
80,103,input,none
81,118,input,none
82,98,input,none
83,45,input,none
84,82,input,none
85,40,input,none
86,68,input,none
87,85,input,none
88,101,input,none
89,94,input,none
90,118,input,none
91,60,input,none
92,82,input,none
93,69,input,none
94,118,input,none
95,41,input,none
96,110,input,none
97,98,input,none
98,23,input,none
99,62,input,none
100,110,input,none
101,95,input,none
102,80,input,none
103,49,input,none
104,19,input,none
105,6,input,none
106,28,input,none
107,93,input,none
108,41,input,none
109,24,input,none
110,111,input,none
111,20,input,none
112,46,input,none
113,66,input,none
114,53,input,none
115,34,input,none
116,34,input,none
117,105,input,none
118,114,input,none
119,99,input,none
120,116,input,none
121,2,input,none
122,84,input,none
123,99,input,none
124,114,input,none
125,107,input,none
126,102,input,none
127,0,input,none
128,99,input,none
129,100,input,none
130,16,input,none
131,102,input,none
132,97,input,none
133,40,input,none
134,21,input,none
135,88,input,none
136,40,input,none
137,87,input,none
138,101,input,none
139,98,input,none
140,56,input,none
141,85,input,none
142,81,input,none
143,112,input,none
144,7,input,none
145,20,input,none
146,81,input,none
147,82,input,none
148,79,input,none
149,107,input,none
150,25,input,none
151,7,input,none
152,100,input,none
153,80,input,none
154,73,input,none
155,72,input,none
156,82,input,none
157,78,input,none
158,48,input,none
159,78,input,none
160,5,input,none
161,106,input,none
162,96,input,none
163,30,input,none
164,6,input,none
165,103,input,none
166,7,input,none
167,10,input,none
168,1,input,none
169,33,input,none
170,12,input,none
171,110,input,none
172,2,input,none
173,19,input,none
174,32,input,none
175,55,input,none
176,21,input,none
177,78,input,none
178,115,input,none
179,11,input,none
180,33,input,none
181,9,input,none
182,12,input,none
183,58,input,none
184,66,input,none
185,80,input,none
186,87,input,none
187,37,input,none
188,39,input,none
189,30,input,none
190,110,input,none
191,73,input,none
192,103,input,none
193,9,input,none
194,91,input,none
195,33,input,none
196,65,input,none
197,32,input,none
198,29,input,none
199,58,input,none
200,54,input,none
201,35,input,none
202,30,input,none
203,114,input,none
204,65,input,none
205,44,input,none
206,114,input,none
207,39,input,none
208,109,input,none
209,110,input,none
210,31,input,none
211,46,input,none
212,51,input,none
213,5,input,none
214,50,input,none
215,0,input,none
216,89,input,none
217,12,input,none
218,104,input,none
219,56,input,none
220,36,input,none
221,7,input,none
222,100,input,none
223,63,input,none
224,52,input,none
225,119,input,none
226,60,input,none
227,69,input,none
228,54,input,none
229,8,input,none
231,49,input,none
230,2,input,none
232,5,input,none
233,100,input,none
234,60,input,none
235,90,input,none
236,4,input,none
237,83,input,none
238,60,input,none
239,118,input,none
240,72,input,none
241,15,input,none
242,67,input,none
243,99,input,none
244,119,input,none
245,114,input,none
246,94,input,none
247,114,input,none
248,30,input,none
249,73,input,none
250,22,input,none
251,55,input,none
252,116,input,none
253,40,input,none
254,58,input,none
255,31,input,none
256,22,input,none
257,99,input,none
258,32,input,none
259,67,input,none
260,38,input,none
261,44,input,none
262,27,input,none
263,0,input,none
264,82,input,none
265,117,input,none
266,99,input,none
267,71,input,none
268,7,input,none
269,81,input,none
270,114,input,none
271,25,input,none
272,64,input,none
273,39,input,none
274,32,input,none
275,80,input,none
276,67,input,none
277,112,input,none
278,84,input,none
279,108,input,none
280,106,input,none
281,113,input,none
282,12,input,none
283,30,input,none
284,119,input,none
285,119,input,none
286,33,input,none
287,112,input,none
288,117,input,none
289,34,input,none
290,62,input,none
291,39,input,none
292,96,input,none
293,67,input,none
294,26,input,none
295,11,input,none
296,11,input,none
297,50,input,none
298,98,input,none
299,119,input,none
300,6,input,none
301,115,input,none
302,0,input,none
303,118,input,none
304,103,input,none
305,61,input,none
306,116,input,none
307,31,input,none
308,105,input,none
309,64,input,none
310,37,input,none
311,48,input,none
312,52,input,none
313,53,input,none
314,3,input,none
315,64,input,none
316,42,input,none
317,44,input,none
318,45,input,none
319,117,input,none
320,84,input,none
321,61,input,none
322,112,input,none
323,92,input,none
324,72,input,none
325,71,input,none
326,94,input,none
327,0,input,none
328,114,input,none
329,52,input,none
330,75,input,none
331,100,input,none
332,10,input,none
333,39,input,none
334,100,input,none
335,61,input,none
336,3,input,none
337,18,input,none
338,47,input,none
339,96,input,none
340,119,input,none
341,52,input,none
342,33,input,none
343,1,input,none
344,15,input,none
345,59,input,none
346,1,input,none
347,17,input,none
348,20,input,none
349,84,input,none
350,79,input,none
351,5,input,none
352,100,input,none
353,2,input,none
354,84,input,none
355,29,input,none
356,19,input,none
357,105,input,none
358,112,input,none
359,9,input,none
360,115,input,none
361,111,input,none
362,91,input,none
363,35,input,none
364,53,input,none
365,9,input,none
366,57,input,none
367,91,input,none
368,74,input,none
369,28,input,none
370,86,input,none
371,106,input,none
372,11,input,none
373,5,input,none
374,26,input,none
375,41,input,none
376,34,input,none
377,6,input,none
378,119,input,none
379,46,input,none
380,69,input,none
381,105,input,none
382,27,input,none
383,62,input,none
384,51,input,none
385,119,input,none
386,20,input,none
387,24,input,none
388,89,input,none
389,86,input,none
390,80,input,none
391,80,input,none
392,40,input,none
393,68,input,none
394,36,input,none
395,87,input,none
396,59,input,none
397,97,input,none
398,7,input,none
399,89,input,none
400,96,input,none
401,51,input,none
402,72,input,none
403,21,input,none
404,37,input,none
405,111,input,none
406,26,input,none
407,89,input,none
408,80,input,none
409,85,input,none
410,118,input,none
411,20,input,none
412,46,input,none
413,0,input,none
414,7,input,none
415,48,input,none
416,113,input,none
417,20,input,none
418,70,input,none
419,119,input,none
420,10,input,none
421,83,input,none
422,75,input,none
423,74,input,none
424,112,input,none
425,91,input,none
426,53,input,none
427,86,input,none
428,10,input,none
429,117,input,none
430,9,input,none
431,110,input,none
432,42,input,none
433,20,input,none
434,9,input,none
435,31,input,none
436,77,input,none
437,40,input,none
438,65,input,none
439,113,input,none
440,4,input,none
441,61,input,none
442,49,input,none
443,44,input,none
444,19,input,none
445,90,input,none
446,116,input,none
447,115,input,none
448,48,input,none
449,24,input,none
450,116,input,none
451,119,input,none
452,0,input,none
453,46,input,none
454,112,input,none
455,117,input,none
456,11,input,none
457,99,input,none
458,42,input,none
459,118,input,none
460,70,input,none
461,67,input,none
462,84,input,none
463,56,input,none
464,36,input,none
465,1,input,none
466,18,input,none
467,50,input,none
468,14,input,none
469,52,input,none
470,38,input,none
471,39,input,none
472,93,input,none
473,77,input,none
474,23,input,none
475,40,input,none
476,6,input,none
477,25,input,none
478,88,input,none
479,104,input,none
480,113,input,none
481,67,input,none
482,50,input,none
483,87,input,none
484,79,input,none
485,68,input,none
486,112,input,none
487,3,input,none
488,111,input,none
489,0,input,none
490,39,input,none
491,25,input,none
492,60,input,none
493,73,input,none
494,88,input,none
495,59,input,none
496,102,input,none
497,32,input,none
498,89,input,none
499,96,input,none
500,119,input,none
501,89,input,none
502,8,input,none
503,30,input,none
504,2,input,none
505,54,input,none
506,0,input,none
507,79,input,none
508,80,input,none
509,9,input,none
510,113,input,none
511,87,input,none
512,24,input,none
513,37,input,none
514,99,input,none
515,34,input,none
516,111,input,none
517,38,input,none
518,2,input,none
519,119,input,none
520,96,input,none
521,106,input,none
522,42,input,none
523,3,input,none
524,107,input,none
525,3,input,none
526,94,input,none
527,5,input,none
528,59,input,none
529,72,input,none
530,60,input,none
531,39,input,none
532,49,input,none
533,117,input,none
534,97,input,none
535,91,input,none
536,39,input,none
537,54,input,none
538,90,input,none
539,33,input,none
540,43,input,none
541,0,input,none
542,93,input,none
543,118,input,none
544,117,input,none
545,47,input,none
546,3,input,none
547,118,input,none
548,50,input,none
549,4,input,none
550,27,input,none
551,45,input,none
