label,unit,attr,imgType
0001,9,input,none
0002,0,input,none
0003,25,input,none
0004,39,input,none
0005,1,input,none
0006,90,input,none
0007,46,input,none
0008,0,input,none
0009,6,input,none
0010,60,input,none
0011,11,input,none
0012,77,input,none
0013,69,input,none
0014,50,input,none
0015,75,input,none
0016,38,input,none
0017,9,input,none
0018,55,input,none
0019,95,input,none
0020,39,input,none
0021,48,input,none
0022,19,input,none
0023,82,input,none
0024,39,input,none
0025,20,input,none
0026,58,input,none
0027,91,input,none
0028,15,input,none
0029,93,input,none
0030,36,input,none
0031,2,input,none
0032,73,input,none
0033,67,input,none
0034,9,input,none
0035,53,input,none
0036,69,input,none
0037,34,input,none
0038,92,input,none
0039,76,input,none
0040,62,input,none
0041,99,input,none
0042,52,input,none
0043,16,input,none
0044,48,input,none
0045,25,input,none
0046,16,input,none
0047,76,input,none
0048,50,input,none
0049,84,input,none
0050,13,input,none
0051,37,input,none
0052,80,input,none
0053,38,input,none
0054,21,input,none
0055,56,input,none
0056,64,input,none
0057,66,input,none
0058,2,input,none
0059,92,input,none
0060,94,input,none
0061,78,input,none
0062,62,input,none
0063,12,input,none
0064,41,input,none
0065,80,input,none
0066,25,input,none
0067,57,input,none
0068,97,input,none
0069,71,input,none
0070,92,input,none
0071,84,input,none
0072,0,input,none
0073,30,input,none
0074,91,input,none
0075,7,input,none
0076,45,input,none
0077,53,input,none
0078,52,input,none
0079,32,input,none
0080,69,input,none
0081,80,input,none
0082,1,input,none
0083,11,input,none
0084,30,input,none
0085,4,input,none
0086,93,input,none
0087,88,input,none
0088,74,input,none
0089,18,input,none
0090,28,input,none
0091,47,input,none
0092,94,input,none
0093,39,input,none
0094,2,input,none
0095,90,input,none
0096,39,input,none
0097,57,input,none
0098,17,input,none
0099,94,input,none
0100,53,input,none
0101,51,input,none
0102,35,input,none
0103,95,input,none
0104,9,input,none
0105,96,input,none
0106,7,input,none
0107,9,input,none
0108,99,input,none
0109,93,input,none
0110,97,input,none
0111,66,input,none
0112,20,input,none
0113,46,input,none
0114,42,input,none
0115,32,input,none
0116,88,input,none
0117,93,input,none
0118,29,input,none
0119,7,input,none
0120,67,input,none
0121,39,input,none
0122,70,input,none
0123,19,input,none
0124,48,input,none
0125,99,input,none
0126,7,input,none
0127,19,input,none
0128,93,input,none
0129,1,input,none
0130,26,input,none
0131,99,input,none
0132,35,input,none
0133,41,input,none
0134,67,input,none
0135,46,input,none
0136,2,input,none
0137,42,input,none
0138,73,input,none
0139,70,input,none
0140,90,input,none
0141,94,input,none
0142,80,input,none
0143,0,input,none
0144,26,input,none
0145,52,input,none
0146,29,input,none
0147,15,input,none
0148,91,input,none
0149,16,input,none
0150,19,input,none
0151,79,input,none
0152,96,input,none
0153,18,input,none
0154,73,input,none
0155,69,input,none
0156,11,input,none
0157,59,input,none
0158,20,input,none
0159,72,input,none
0160,66,input,none
0161,37,input,none
0162,2,input,none
0163,69,input,none
0164,51,input,none
0165,43,input,none
0166,50,input,none
0167,52,input,none
0168,86,input,none
0169,66,input,none
0170,3,input,none
0171,13,input,none
0172,87,input,none
0173,89,input,none
0174,59,input,none
0175,9,input,none
0176,0,input,none
0177,57,input,none
0178,70,input,none
0179,6,input,none
0180,23,input,none
0181,85,input,none
0182,9,input,none
0183,39,input,none
0184,61,input,none
0185,98,input,none
0186,45,input,none
0187,19,input,none
0188,6,input,none
0189,83,input,none
0190,90,input,none
0191,36,input,none
0192,18,input,none
0193,43,input,none
0194,12,input,none
0195,79,input,none
0196,32,input,none
0197,91,input,none
0198,4,input,none
0199,91,input,none
0200,67,input,none
0201,60,input,none
0202,0,input,none
0203,0,input,none
0204,69,input,none
0205,91,input,none
0206,93,input,none
0207,16,input,none
0208,75,input,none
0209,90,input,none
0210,21,input,none
0211,13,input,none
0212,46,input,none
0213,24,input,none
0214,69,input,none
0215,20,input,none
0216,43,input,none
0217,64,input,none
0218,85,input,none
0219,25,input,none
0220,7,input,none
0221,53,input,none
0222,11,input,none
0223,31,input,none
0224,98,input,none
0225,8,input,none
0226,14,input,none
0227,94,input,none
0228,80,input,none
0229,48,input,none
0230,51,input,none
0231,55,input,none
0232,5,input,none
0233,97,input,none
0234,30,input,none
0235,50,input,none
0236,62,input,none
0237,82,input,none
0238,37,input,none
0239,54,input,none
0240,25,input,none
0241,43,input,none
0242,52,input,none
0243,35,input,none
0244,64,input,none
0245,46,input,none
0246,94,input,none
0247,0,input,none
0248,48,input,none
0249,5,input,none
0250,44,input,none
0251,5,input,none
0252,55,input,none
0253,36,input,none
0254,20,input,none
0255,22,input,none
0256,27,input,none
0257,0,input,none
0258,39,input,none
0259,79,input,none
0260,2,input,none
0261,31,input,none
0262,65,input,none
0263,28,input,none
0264,39,input,none
0265,59,input,none
0266,29,input,none
0267,6,input,none
0268,89,input,none
0269,37,input,none
0270,6,input,none
0271,25,input,none
0272,62,input,none
0273,20,input,none
0274,5,input,none
0275,3,input,none
0276,14,input,none
0277,19,input,none
0278,75,input,none
0279,32,input,none
0280,39,input,none
0281,24,input,none
0282,20,input,none
0283,3,input,none
0284,49,input,none
0285,90,input,none
0286,96,input,none
0287,20,input,none
0288,42,input,none
0289,45,input,none
0290,28,input,none
0291,98,input,none
0292,0,input,none
0293,4,input,none
0294,80,input,none
0295,1,input,none
0296,32,input,none
0297,0,input,none
0298,70,input,none
0299,59,input,none
0300,23,input,none
0301,70,input,none
0302,4,input,none
0303,48,input,none
0304,82,input,none
0305,8,input,none
0306,46,input,none
0307,64,input,none
0308,91,input,none
0309,96,input,none
0310,51,input,none
0311,55,input,none
0312,59,input,none
0313,79,input,none
0314,7,input,none
0315,59,input,none
0316,20,input,none
0317,30,input,none
0318,84,input,none
0319,86,input,none
0320,12,input,none
0321,26,input,none
0322,51,input,none
0323,66,input,none
0324,81,input,none
0325,6,input,none
0326,77,input,none
0327,90,input,none
0328,0,input,none
0329,86,input,none
0330,9,input,none
0331,3,input,none
0332,22,input,none
0333,4,input,none
0334,40,input,none
0335,16,input,none
0336,19,input,none
0337,73,input,none
0338,94,input,none
0339,19,input,none
0340,2,input,none
0341,39,input,none
0342,49,input,none
0343,39,input,none
0344,4,input,none
0345,25,input,none
0346,59,input,none
0347,60,input,none
0348,56,input,none
0349,51,input,none
0350,99,input,none
0351,95,input,none
0352,94,input,none
0353,54,input,none
0354,62,input,none
0355,58,input,none
0356,99,input,none
0357,12,input,none
0358,53,input,none
0359,58,input,none
0360,41,input,none
0361,9,input,none
0362,58,input,none
0363,31,input,none
0364,90,input,none
0365,62,input,none
0366,98,input,none
0367,42,input,none
0368,96,input,none
0369,77,input,none
0370,0,input,none
0371,71,input,none
0372,91,input,none
0373,92,input,none
0374,7,input,none
0375,19,input,none
0376,6,input,none
0377,5,input,none
0378,77,input,none
0379,37,input,none
0380,7,input,none
0381,3,input,none
0382,5,input,none
0383,58,input,none
0384,18,input,none
0385,60,input,none
0386,32,input,none
0387,29,input,none
0388,0,input,none
0389,90,input,none
0390,95,input,none
0391,80,input,none
0392,48,input,none
0393,57,input,none
0394,5,input,none
0395,65,input,none
0396,59,input,none
0397,40,input,none
0398,60,input,none
0399,4,input,none
0400,26,input,none
0401,28,input,none
0402,74,input,none
0403,6,input,none
0404,33,input,none
0405,99,input,none
0406,59,input,none
0407,24,input,none
0408,71,input,none
0409,90,input,none
0410,65,input,none
0411,9,input,none
0412,9,input,none
0413,45,input,none
0414,94,input,none
0415,99,input,none
0416,20,input,none
0417,96,input,none
0418,29,input,none
0419,80,input,none
0420,71,input,none
0421,47,input,none
0422,44,input,none
0423,19,input,none
0424,42,input,none
0425,57,input,none
0426,39,input,none
0427,2,input,none
0428,94,input,none
0429,4,input,none
0430,93,input,none
0431,69,input,none
0432,4,input,none
0433,21,input,none
0434,39,input,none
0435,50,input,none
0436,76,input,none
0437,23,input,none
0438,94,input,none
0439,14,input,none
0440,16,input,none
0441,69,input,none
0442,59,input,none
0443,56,input,none
0444,36,input,none
0445,12,input,none
0446,57,input,none
0447,82,input,none
0448,95,input,none
0449,98,input,none
0450,30,input,none
0451,82,input,none
0452,30,input,none
0453,54,input,none
0454,46,input,none
0455,20,input,none
0456,29,input,none
0457,96,input,none
0458,93,input,none
0459,19,input,none
0460,29,input,none
0461,37,input,none
0462,59,input,none
0463,48,input,none
0464,15,input,none
0465,47,input,none
0466,38,input,none
0467,79,input,none
0468,20,input,none
0469,9,input,none
0470,75,input,none
0471,0,input,none
0472,97,input,none
0473,43,input,none
0474,57,input,none
0475,91,input,none
0476,97,input,none
0477,82,input,none
0478,64,input,none
0479,92,input,none
0480,32,input,none
0481,49,input,none
0482,77,input,none
0483,25,input,none
0484,98,input,none
0485,52,input,none
0486,9,input,none
0487,90,input,none
0488,31,input,none
0489,44,input,none
0490,55,input,none
0491,65,input,none
0492,66,input,none
0493,45,input,none
0494,5,input,none
0495,20,input,none
0496,89,input,none
0497,90,input,none
0498,28,input,none
0499,90,input,none
0500,58,input,none
0501,18,input,none
0502,65,input,none
0503,25,input,none
0504,20,input,none
0505,48,input,none
0506,20,input,none
0507,33,input,none
0508,45,input,none
0509,91,input,none
0510,20,input,none
0511,2,input,none
0512,9,input,none
0513,92,input,none
0514,78,input,none
0515,89,input,none
0516,56,input,none
0517,93,input,none
0518,52,input,none
0519,41,input,none
0520,96,input,none
0521,24,input,none
0522,10,input,none
0523,62,input,none
0524,39,input,none
0525,64,input,none
0526,19,input,none
0527,41,input,none
0528,93,input,none
0529,82,input,none
0530,39,input,none
0531,58,input,none
0532,56,input,none
0533,9,input,none
0534,13,input,none
0535,18,input,none
0536,24,input,none
0537,66,input,none
0538,3,input,none
0539,80,input,none
0540,6,input,none
0541,42,input,none
0542,66,input,none
0543,94,input,none
0544,17,input,none
0545,85,input,none
0546,14,input,none
0547,79,input,none
0548,99,input,none
0549,3,input,none
0550,48,input,none
0551,35,input,none
0552,63,input,none
0553,3,input,none
0554,8,input,none
0555,45,input,none
0556,97,input,none
0557,99,input,none
0558,0,input,none
0559,50,input,none
0560,9,input,none
0561,57,input,none
0562,87,input,none
0563,86,input,none
0564,54,input,none
0565,90,input,none
0566,79,input,none
0567,20,input,none
0568,9,input,none
0569,11,input,none
0570,27,input,none
0571,96,input,none
0572,78,input,none
0573,94,input,none
0574,5,input,none
0575,23,input,none
0576,62,input,none
0577,31,input,none
0578,19,input,none
0579,92,input,none
0580,98,input,none
0581,99,input,none
0582,81,input,none
0583,37,input,none
0584,56,input,none
0585,2,input,none
0586,13,input,none
0587,5,input,none
0588,28,input,none
0589,26,input,none
0590,2,input,none
0591,83,input,none
0592,63,input,none
0593,58,input,none
0594,78,input,none
0595,82,input,none
0596,93,input,none
0597,34,input,none
0598,7,input,none
0599,60,input,none
0600,26,input,none
0601,97,input,none
0602,30,input,none
0603,55,input,none
0604,39,input,none
0605,91,input,none
0606,47,input,none
0607,47,input,none
0608,34,input,none
0609,0,input,none
0610,97,input,none
0611,69,input,none
0612,94,input,none
0613,64,input,none
0614,41,input,none
0615,57,input,none
0616,3,input,none
0617,36,input,none
0618,48,input,none
0619,7,input,none
0620,25,input,none
0621,35,input,none
0622,36,input,none
0623,93,input,none
0624,34,input,none
0625,74,input,none
0626,22,input,none
0627,20,input,none
0628,21,input,none
0629,76,input,none
0630,52,input,none
0631,80,input,none
0632,6,input,none
0633,60,input,none
0634,58,input,none
